sale_post_id,brand_id,model_id,version_id,title,description,price,year,odo,location,status
11,15.0,55.0,152.0,Ford EcoSport Titanium 1.5L AT - 2018,"FORD ECOSPORT TITANIUM 2018

odo 79.000km

giá (còn thương lương)


 Bảo Hành Chính Hãng 20.000km / 01 năm

 Tặng 03 lần thay nhớt & 01 năm BHDS.

 Cam kết chất lượng bằng văn bản : Xe không va chạm - xe odo chuẩn - xe không thủy kích ngập nước.

 Hỗ trợ vay Toàn Quốc tối đa 70% (bao hồ sơ nhanh gọn - khó vay)

 Quý Anh Chị có nhu cầu trao đổi xe hãy gọi ngay em nha",426000000,2018,79000,"61A Cao Thắng, P.03, Q.03 TP HCM 
								 Xem gian hàng  ⇨",active
12,30.0,176.0,765.0,Mercedes Benz GLC 200 - 2021,"Cuối chiều em lại có 1 chú “Gà Lá Chanh” hơi bị đẹp nhập kho ạ! 

Mercedes GLC200 Facelift

Màu Đen/Đen, sản xuất 2021, ốt đô: 3v6 km

Các Bác và Ae muốn giá có gì thỳ in bóc trực tiếp e nhé ạ! 

Xin vui lòng liên hệ trực tiếp Mr Thiện. Trân trọng cảm ơn!",1369000000,2021,36000,"Số 3 - 5 Nguyễn Văn Linh, Long Biên Hà Nội 
														Website: h3tauto.bonbanh.com",active
13,20.0,83.0,282.0,Hyundai Accent 1.4 MT Base - 2020,"vừa về hyundai accent 2020 MT

Xe đẹp xuất sắc máy zin keo chi zin 

Xe cực đẹp 

Trần nỉ nguyên bản 

Máy êm 

Bác nào có nhu cầu",295000000,2020,8600,Đông anh Hn Hà Nội,active
14,47.0,292.0,1171.0,Toyota Vios 1.5E - 2016,"Tôi chính chủ cần bán víos MT số sàn 

Xe đẹp máy zin 

Bảo dưỡng cẩn thận 

Tôi đã trang bị cam lùi cam hành trình dán film 3M loại xịn 

Màn hình to như TV

Mới thay dàn lốp mới 

Bác nào có nhu cầu đến nhà riêng hoặc cơ quan",216000000,2016,9600,Đông anh Hn Hà Nội,active
15,50.0,319.0,1245.0,Volvo S90 LWB Ultimate B6 AWD - 2023,"Xe sang siêu đẹp siêu lướt 

Volvo S90 Ultimate Model 2023

Màu trắng / nt nâu

Siêu lướt : 29.000km


✓ Nội thất da Nappa màu nâu, không gian rộng rãi, sang trọng và tinh tế.

✓ Trang bị đỉnh cao: Hệ thống âm thanh Bowers & Wilkins, ghế chỉnh điện tích hợp massage, camera 360°, HUD kính lái, Pilot Assist hỗ trợ lái tự động…


Em uy tín cam kết cho anh chị xe đẹp không bị đâm đụng, thuỷ kích và số Km chuẩn, phát hiện xe tua km em đền cọc gấp đôi cho anh chị.",1898000000,2023,29000,"Số 2, đường 79, Phường Tân Quy, Quận 7 TP HCM 
								 Xem gian hàng  ⇨",active
16,33.0,198.0,845.0,Mitsubishi Outlander 2.4 CVT Premium - 2017,"BÁN OUTLANDER 2017 2.4 Premium 2 cầu, nhập NHẬT nguyên chiếc trắng nội thất kem. Xe đẹp 11 vạn, 1 chủ sử dụng, đi cực khoẻ đầm chắc. Nội thất như mới cứng. CAM KẾT TẤT.

Trang bị: đèn pha 2 bi, ghế điện, nẫy số vô lăng thể thao, sấy sưởi ghế, trống trơn trượt, cửa nóc, cốp điện… đảm bảo mọi yếu tố khó tính nhất của chiếc xe nhật.


Xin cảm ơn!",595000000,2017,100000,"Số 79 Nguyễn Chánh, Trung Hoà, Cầu Giấy Hà Nội 
														Website: thaihoanglongauto.bonbanh.com",active
17,30.0,172.0,738.0,Mercedes Benz E class E200 Exclusive - 2023,"Mercedes E200 Exclusive V1 model 2023, full option

- Cam kết không đâm đụng, ngập nước

- Hỗ trợ Vay NH, giao xe, test hãng toàn quốc.

- Chăm sóc khách hàng trọn đời xe, inb ngay


#DNZ - Xe Đẹp - Giá Tốt:

58-60 Phan Khiêm Ích, PMH, Q.7, TP HCM",1799000000,2023,0,"58 - 60 Phan Khiêm Ích, p. Tân Phong, Quận 7 TP HCM 
														Website: dnzphoxeluot.bonbanh.com",active
18,15.0,58.0,175.0,Ford Explorer Limited 2.3L EcoBoost - 2016,"Ford Explorer 2016 đăng ký 2017

Xe cá nhân 

Đã đi : 90.000Km

Màu : Đen

Phim cách nhiệt, lót sàn

Xe bao ko đâm đụng, ko ngập nước , ko tua đồng hồ

Mua bán trao đổi xe cũ và mới đổi bù các thương hiệu 

Bao rút hồ sơ gốc hỗ trợ sang tên nếu khách hàng có nhu cầu.

Liên hệ xem xe để biết thêm thông tin",840000000,2016,90000,Quận 3 TP HCM,active
19,29.0,160.0,649.0,Mazda 3 1.5L Luxury - 2019,Tùng Sơn auto..bán Mazda 3 ..1 chủ tư nhân Hải phòng..sử dụng từ mới…chủ cũ giũ gìn..bảo dưỡng chính hãng…xe thật đẹp…cuối 2019 xe có ghế điện..các bác có nhu cầu vui lòng liên hệ trực tiếp..để xem xe…xin cảm ơn đã đọc tin..,470000000,2019,0,"215B Lê Thánh Tông, Ngô Quyền Hải Phòng 
														Website: tungsonauto.bonbanh.com",active
20,47.0,268.0,1056.0,Toyota Corolla altis 1.8G MT - 2008,"Toyota Altis màu đen, số sàn, sx năm 208 đẹp xuất sắc không lỗi màn hình. Cam lùi gương kính điện cụp xòe

Liên hệ em Diệp để xem xe.",218000000,2008,0,"Khu 6 thôn Thường Lệ, xã Đại Thịnh, huyện Mê Linh Hà Nội 
														Website: otocumelinh.bonbanh.com",active
21,29.0,160.0,649.0,Mazda 3 1.5L Luxury - 2024,"Mazda 3 2024 odo 5.000km như xe mới. 

 Xe cam kết không đâm đụng, không ngập nước, bao check hãng toàn quốc.			

- Hỗ trợ sang tên đổi chủ, thủ tục giấy tờ pháp lý rõ ràng.			

- Chế độ bảo hành hậu mãi, chăm sóc xe miễn phí sau khi mua xe			


Liên hệ để biết thêm thông tin xe",595000000,2024,5000,"Số 68 Vũ Đức Thận, Việt Hưng, Long Biên, Hà Nội Hà Nội 
														Website: usedcarhanoi.bonbanh.com",active
22,43.0,248.0,996.0,Subaru Forester 2.0i-L - 2024,"Showroom Hanoicar CN Sài Gòn mới về:

- Subaru Forester 2024 - Xanh/Đen

- ﻿﻿Odo 2,2 vạn km

- Xe sẵn giao toàn quốc 1-3 ngày

- Thủ tục sang tên, pháp lý rõ ràng

- ﻿﻿Cam kết không đâm đụng, không ngập nước, bao check hãng toàn quốc

Quý khách quan tâm xin vui lòng liên hệ để biết thêm thông tin xe.",829000000,2024,22000,"532 Quốc Lộ 13, Thủ Đức, TP.HCM TP HCM 
														Website: hanoicar-cnsaigon.bonbanh.com",active
23,24.0,121.0,472.0,Kia K3 1.6 AT - 2014,"Kia K3 1.6AT 2014

Chạy: 8700

Độ full đồ chơi...

Xe tư nhân chinh chủ từ mới

Xe đẹp máy móc keo chỉ nguyên zin

Xe không đâm va không ngập nước

Cam kết bằng văn bản chếch tét thải mái",300000000,2014,0,ha dong Hà Nội,active
24,24.0,136.0,572.0,Kia Sportage Signature X-Line 2.0D - 2023,"KIa Sportage Signature 2.0D máy dầu

Sản xuất : 2023

Xe đã lăn bánh 29.000km zin sai tặng xe

✓ Full lịch sử hãng

✓ Cam kết chất lượng xe sơn zin 90%

✓ Hỗ trợ bank tối đa giá trị xe

✓ Bao kiểm tra check test theo yêu cầu lỗi hoàn tiền check

✓ Xem xe trực tiếp , giá cả thương lượng

~~~ Ở đâu giá tốt ở đây giá sẽ tốt hơn

Chất lượng xe ở đâu tốt , ở đây sẽ tốt hơn ~~~

Liên hệ:",899000000,2023,29000,"22 Giáp Hải, Long Biên Hà Nội 
														Website: kcauto.bonbanh.com",active
25,20.0,103.0,385.0,Hyundai Tucson 1.6 AT Turbo - 2020,"Hyundai Tucson 1.6 Turbo 2020, Đen / Kem. Xe đăng kí tên tư nhân chính chủ - Cực Đẹp - Odo zin 50.000km full lịch sử hãng 

Xe trang bị gồm: Start/Stop, màn hình, camera lùi, cảm biến, túi khí an toàn, điều hòa tự động, cửa nóc, vô lăng tích hợp điều khiển, cân bằng điện tử, ghế điện, phanh tay điện tử, kết nối ngoại vi,..và nhiều tiện ích khác.

Cam kết với khách hàng bằng văn bản khi mua xe

- Cam kết xe nguyên bản không đâm đụng, ngập nước

- Nhiều chế độ bảo hành và hậu mãi

- Hỗ trợ mọi thủ tục vay vốn, sang tên, lãi suất ưu đãi

Uy tín là sự sống còn của chúng tôi !",710000000,2020,50000,"22 Giáp Hải, Long Biên Hà Nội 
														Website: kcauto.bonbanh.com",active
26,19.0,78.0,264.0,Honda CRV e:HEV RS - 2023,"Hàng siêu hot

Honda CRV RS 2.0 eHEV sx 2023 đ.ký 2024

✓ Xe mới lăn bánh 9.000km

✓ Full lịch sử bảo dưỡng hãng

✓ Cam kết chất lượng xe

✓ Bao kiểm tra check test

✓ Hỗ trợ bank tối đa giá trị xe

✓ Xem xe trực tiếp - Giá cả thương lượng

~~~ Ở đâu giá tốt ở đây giá sẽ tốt hơn

Chất lượng xe ở đâu tốt , ở đây sẽ tốt hơn ~~~",1199000000,2023,9000,"22 Giáp Hải, Long Biên Hà Nội 
														Website: kcauto.bonbanh.com",active
27,9.0,46.0,133.0,Chevrolet Trailblazer LTZ 2.5L VGT 4x4 AT - 2019,"Chevrolet Traiblazer 2.5LTZ VGT Diesel 4WD sx 2019 nhập khẩu nguyên chiếc. tên cá nhân Oddo hơn 70.000 km. Xe 2 cầu khỏe cơ bắp đi đầm chắc sướng vô cùng. Thân vỏ dầy bịch đẹp xuất sắc. Xe full option nhập.

Em cam kết : 1. hồ sơ pháp lý xe chuẩn chỉ

2. Động cơ hộp số máy móc khung gầm bệ ko đâm va ko ngập nước ko thủy kích, ko bổ máy.

3. Hỗ trợ trả góp lên tới 75% giá trị xe.

Các bác nhiệt tình mua alo trực tiếp em ah.",599000000,2019,75000,"22 Giáp Hải, Long Biên Hà Nội 
														Website: kcauto.bonbanh.com",active
28,24.0,134.0,546.0,Kia Sorento 2.2 DAT Premium - 2019,"Sorento 2019 máy dầu full options, tên cá nhân đi 8 vạn km chuẩn "" cam kết bằng văn bản ""

Xe trang bị :

Khoá thông minh, đề nổ từ xa,

starstop, màn hình androi,camera lùi, camera hành trình, điều khiển tích hợp trên vô lăng, chế độ hội thoại rảnh tay,

Gương kính chỉnh điện tự hạ gương khi lùi,

Ghế da chỉnh điện , cửa sổ trời toàn cảnh,

Điều hoà tự động

Đèn pha auto , gạt mưa auto

Phanh abs , túi khí an toàn, cảm biến trước sau... và rất nhiều tính năng khác

Cam kết xe không lỗi, không tai nạn, không ngập nước, pháp lí rõ ràng

Có hỗ trợ ngân hàng thủ tục nhanh gọn",665000000,2019,80000,"22 Giáp Hải, Long Biên Hà Nội 
														Website: kcauto.bonbanh.com",active
29,47.0,267.0,1036.0,Toyota Camry 2.0E - 2017,"Toyota Camry 2.0E sản xuất 2017; màu vàng cát, nội thất kem

Xe đẹp xuất sắc,chủ cũ cực giữ gìn, chạy chuẩn 60,000km

Xe trang bị: Hộp số 6 cấp thê hế mới; màn hình giải trí, ghế da cao cấp, túi khí an toàn, phanh abs,...

Cam kết không đâm đụng, không ngập nước, bao test hãng.

Vui lòng liên hệ để biết thêm chi tiết

Xin cảm ơn.",599000000,2017,65000,"22 Giáp Hải, Long Biên Hà Nội 
														Website: kcauto.bonbanh.com",active
30,48.0,298.0,1205.0,VinFast Lux SA 2.0 Premium - 2019,"️E múc thêm:


 Vin Lux SA bản Premium sx 2019 dky 20


* Xe 1 chủ từ mới, zin tuốt xe còn rất mới và đẹp.

* Chạy 10v tự nhiên, bao check mọi nơi bạn muốn.",710000000,2019,100000,"522 Nguyễn Văn Cừ, phường Gia Thụy, Quận Long Biên Hà Nội 
														Website: auto522.bonbanh.com",active
31,15.0,64.0,209.0,Ford Ranger XLS 2.2L 4x2 AT - 2015,"FORD RANGER XLS . số tự động 1 cầu. động cơ 2.2 XS 2015 phom 2016 

- Máy móc nguyên bản, keo chỉ cột kèo còn zin

- Gầm bệ sáng đẹp

- Lên đầy đủ màn hình, cam lùi, dề nổ từ xa 

- Sơn xi thân vỏ bóng đẹp

 Giá xe mềm như bún: 4x bao rút hồ sơ

 Hỗ trợ rút hồ sơ, sang tên đổi biển tất cả các tỉnh thành. Giao xe toàn quốc.

 Cam kết xe không tai nạn, không ngập nước.",408000000,2015,90000,Big C Thăng Long Hà Nội,active
32,15.0,55.0,149.0,Ford EcoSport Titanium 1.0 AT - 2021,"Em pass Ford Ecosport Ecobost máy 1.0 2021 

đang về chạy 50.000km

Liên hệ ngay em để xem xe",496000000,2021,50000,Sóc Sơn Hà Nội,active
33,50.0,319.0,1245.0,Volvo S90 LWB Ultimate B6 AWD - 2023,"SHOWROOM BẢO VIỆT CAR - BẢO HÀNH XE BÁN

TRUNG TÂM MUA BÁN - ĐẶC BIỆT LÀ CÁC DÒNG VOLVO

Gia hạn thêm bảo hành

Miễn phí bảo dưỡng cho xe bán ra


►Nay showroom nhà em về S90 - Sendan đầu bảng thương hiệu VOLVO - An toàn nhất thế giới

►Quý anh chị TIẾT KIỆM ngay gần 600tr so với giá xe mới lăn bánh 2tỷ600, trong khi chất lượng xe tốt, đẳng cấp trọn vẹn, tính năng đầy đủ


►Thông tin

- Nhập khẩu nguyên chiếc chính hãng

- Phiên bản 2023, giống 100% model mới nhất

- Màu Đen Ánh Kim, nội thất Nâu Cafe

- Odo 15.000km, bảo hành, bảo dưỡng miễn phí

- Full lịch sử chính hãng

- Đã dán film cách nhiệt, thảm sàn

►Trang bị nổi bật

- Động cơ B6 mới 300 mã công nghệ Mild Hybrid

- Điều khiển xe, đề nổ máy – đóng mở cửa từ xa

- Hỗ trợ Full tự động lái xe, tự động phanh 

- Da Nappa làm mát 4 ghế, có vị trí ghế chủ tịch

- Cần số Pha Lê Thụy Điển

- Cửa sổ trời toàn cảnh Panorama

- Điều hòa 4 vùng có lọc oxy, lọc bụi mịn

- Ốp gỗ óc chó tự nhiên

- Dàn 19 loa Bowers & Wilkins âm thanh vòm 1.400W

- Kính xe 2 lớp cách âm, cách nhiệt


►Cam kết từ showrooom:

- Kiểm tra check chất lượng, không cần đặt cọc

- Pháp lý - giấy tờ sở hữu xe rõ ràng

- Hỗ trợ sang tên, đổi biển, giao xe toàn quốc

- Free bảo dưỡng miễn phí

►Showroom Bảo Việt Car

Số 759 Nguyễn Văn Linh, Long Biên, Hà Nội

Hân hạnh được chào đón quý anh chị khách hàng qua xem xe và lái thử",1929000000,2023,15000,"Số 759 đường Nguyễn Văn Linh, Long Biên, Hà Nội Hà Nội 
														Website: baovietcar.bonbanh.com",active
34,24.0,119.0,462.0,Kia Cerato 2.0 AT - 2018,"Chào bán cerrto 2.0 AT xe ca nhân 

Xe dã có tranh bị dày dủ tinh năng , công nghệ dồ chơi

 Nghế múi , sạc không dây 

Màn hình , cam truoc , cam sau , cảm biến sau

Sơn zin 80/%",430000000,2018,73000,Big C Thăng Long Hà Nội,active
35,30.0,176.0,768.0,Mercedes Benz GLC 300 4Matic - 2020,"Mercedes GLC300 4matic sản xuất 2020

- Odo hơn 6 vạn km

- BKS tỉnh

- Màu trắng // nội thất kem đẹp mỹ mãn

Không tai nạn, không ngập nước, máy số nguyên bản",1680000000,2020,60000,"Cầu Giấy Hà Nội 
								 Xem gian hàng  ⇨",active
36,24.0,126.0,505.0,Kia Picanto 1.25 AT - 2013,"Kia moring picato hàng nhập ba khúc , sx 2013 số tự dộng . Xe mua mới một chủ sủ dụng , máy số zin

Gầm bệ chăc nich , xe có cửa sổ trời , dieu hoà auto 

Csmr biến , cam lùi , nghếbda zin theo nhà sx

Vo lăng tich hợp , kính chinh diẹn, gương chỉnh cụp xoè , va những tính năng công nghệ khác vv

Xe duoc cam kết zin nguyên bản , khong dâm va khong ngập nuoc , sơn zin 85%

Hồ sơ bao cho chủ mua ve dk ,

Liên hệ ngay để xem xe",255000000,2013,53000,Big C Thăng Long Hà Nội,active
37,20.0,103.0,388.0,Hyundai Tucson 2.0 AT - 2019,"Tucson AT ( tiêu chuẩn ) sx 2019 - tên cty một chủ từ mới , model mới , máy xăng 2.0 ,xe đi giữ gìn đẹp zin nguyên bản,hỗ trợ vay bank,hỗ trợ sang tên nhanh


- Xe cam kết không đâm đụng, không ngập nước, bao check hãng toàn quốc.			

- Hỗ trợ sang tên đổi chủ, thủ tục giấy tờ pháp lý rõ ràng.			

- Chế độ bảo hành hậu mãi, chăm sóc xe miễn phí sau khi mua xe			


Liên hệ để biết thêm thông tin xe",615000000,2019,0,"36 Xuân Tảo - Xuân La - Tây Hồ Hà Nội 
														Website: auto689.bonbanh.com",active
38,15.0,64.0,201.0,Ford Ranger Wildtrak 2.0L 4x4 AT - 2019,"Bitubo 2 cầu sx 2019 AT , xe một chủ hà nội 

Xe dẹp khong lỗi , máy số nguyên bản

Nội thất zin , sơn si dẹp

Bao hs , hỗ trợ bank 70/%

Bao chếch hẵng

Giá có thượng lượng

Xem xe hà nội",615000000,2019,8600,Big C Thăng Long Hà Nội,active
39,20.0,94.0,332.0,Hyundai i10 Grand 1.2 AT - 2018,"Chào bán i 10 sedan số tự dông Sx 2018

Tên cá nhân một chủ 

Xe dẹp không va chạm , không ngập nước 

Máy số nguyên bản , keo chi zin 

4 lốp mít mới , nội ngoại thất dẹp

Dăng kiểm dài 

An ninh gấy tờ đầy đủ pháp lý hs bên em bao

Ace qoan Tam lh xem xe Hà Nội",308000000,2018,70000,Big C Thăng Long Hà Nội,active
40,15.0,55.0,152.0,Ford EcoSport Titanium 1.5L AT - 2015,"FORD ECOSPORT TITANIUM 2015

odo 27.000km

giá (còn thương lương)

 Bảo Hành Chính Hãng 20.000km / 2026

 Tặng 03 lần thay nhớt & 01 năm BHDS.

 Cam kết chất lượng bằng văn bản : Xe không va chạm - xe odo chuẩn - xe không thủy kích ngập nước.

 Hỗ trợ vay Toàn Quốc tối đa 70% (bao hồ sơ nhanh gọn - khó vay)

 Quý Anh Chị có nhu cầu trao đổi xe hãy gọi ngay em nha",355000000,2015,27000,"61A Cao Thắng, P.03, Q.03 TP HCM 
								 Xem gian hàng  ⇨",active
41,47.0,270.0,1070.0,Toyota Corolla XLi 1.6 AT - 2009,"Cần bán Toyota Corolla XLi 1.6 AT sản xuất 2009, Nhập Nhật tên tư nhân chính chủ đã rút hồ sơ rồi. Bản 1.6 đi cực ít xăng và bền lành. Xe cam kết ko dạy lái hay dịch vụ. Nguyên bản của nhà sản xuất. 

Máy gầm cứng và đẹp, nội thất da, trải sàn , Vô lăng củ số đẹp, táp li mới sần... 

Ai có nhu cầu thì liên hệ trực tiếp để xem xe.",279000000,2009,129800,286 Nguyễn Xiển Hà Nội,active
42,47.0,265.0,1033.0,Toyota Avanza Premio 1.5 AT - 2023,"+++  XE ĐƯỢC CAM KẾT +++ 


✓Số khung số máy trên đăng kí, đăng kiểm khớp với số khung, số máy trên xe.

✓Không có va chạm mạnh ảnh hưởng tới sắt xi khung gầm, mọi chức năng của xe hoạt động bình thường. 

✓ Không bị ngập nước, thủy kích ảnh hưởng đến kết cấu máy của xe

✔Hồ sơ Pháp lý minh bạch không có tranh chấp kiện tụng (cái này quan trọng hơn cả chất lượng xe). 


+++ KHUYẾN KHÍCH KHÁCH +++

✔  Thuận Mua vừa bán rõ ràng minh bạch ngay từ đầu.

✔ Suy nghĩ trao đổi thật kỹ với người thân , cân nhắc phương án tài chính trước khi đặt cọc.

✔ Nên check/kiểm tra hãng 0r bên thứ 3 trước khi giao dịch.",545000000,2023,16000,"240 Phạm Văn Đồng Hà Nội 
														Website: carazauto.bonbanh.com",active
43,47.0,267.0,1042.0,Toyota Camry 2.5Q - 2023,"CAMRY 2.5Q ĐỈNH CAO SIÊU LƯỚT.

- Bán xe Toyota Camry 2.5Q 2023, số tự động, màu trắng, nhập Thái Lan.

- Odo siêu lướt chuẩn 10.000 km (sai tặng xe), full lịch sử bảo dưỡng hãng, biển số TP HCM, một chủ mua mới từ đầu.

- Xe trang bị khung gầm toàn cầu, động cơ thế hệ mới tiết kiệm nhiên liệu đi kèm Hộp số 8 cấp, trang bị Hệ thống an toàn Toyota TSS.

- Xe được cam kết chất lượng: Không tai nạn đâm đụng, không ngập nước thủy kích, chuẩn đồng hồ Km không tua, pháp lý sang tên chuẩn.

- Xem xe bao thầy thợ kiểm tra và test hãng toàn quốc, check test theo yêu cầu người mua.

- Xe zin nguyên bản từ nhà sản xuất không lỗi nhỏ, keo chỉ số máy nguyên zin, gầm sáng đẹp, 4 lốp zin theo xe, bánh sơ cua chưa hạ.

- Hỗ trợ vay ngân hàng 60 – 70% giá trị xe.

- Hỗ trợ sang tên.

- Hỗ trợ giao xe toàn quốc.

- Bảo hành khi mua (xe còn bảo hành chính hãng toàn quốc đến năm 2027).

- Bên em bán có văn bản cam kết chất lượng xe.

- Có nhận giao lưu, trao đổi các dòng xe khác.",1250000000,2023,10000,"TP. Thủ Đức TP HCM 
								 Xem gian hàng  ⇨",active
44,19.0,76.0,246.0,Honda City 1.5TOP - 2020,"Hàng nóng phỏng tay

Honda City 2020 Top Đen

Odo: 35.000km 1 chủ từ đầu",439000000,2020,35000,"Hiệp Bình Phước Thủ Đức TP HCM 
								 Xem gian hàng  ⇨",active
45,24.0,126.0,506.0,Kia Picanto S 1.25 AT - 2014,Bán xe Kia Picanto 2014 bản số động. Xe trang bị đầy đủ các tiện ích. Nội ngoại thất rất đẹp. Liên hệ ngay để xem xe,255000000,2014,0,Phường Tứ Minh Hải Dương,active
46,47.0,292.0,1171.0,Toyota Vios 1.5E - 2017,"xe gia đình cần bán ,chính 1 đời chủ

xe đẹp ,ký mua bán hoặc ủy quyền trong ngày

ai có thiện chí mua sài em để lại giá hợp lý ,ae cò lái thông cảm ạ",275000000,2017,350000,59/1d pham van chiêu TP HCM,active
